Date,Close
2021-06-29,2191.26
2021-06-30,2239.11
2021-07-01,2117.6
2021-07-02,2089.0
2021-07-03,2219.55
2021-07-04,2350.42
2021-07-05,2217.31
2021-07-06,2310.85
2021-07-07,2362.01
2021-07-08,2137.8
2021-07-09,2134.85
2021-07-10,2095.08
2021-07-11,2130.87
2021-07-12,2026.57
2021-07-13,1949.46
2021-07-14,1989.35
2021-07-15,1925.09
2021-07-16,1902.35
2021-07-17,1899.02
2021-07-18,1895.28
2021-07-19,1819.3
2021-07-20,1794.03
2021-07-21,1947.62
2021-07-22,2016.29
2021-07-23,2039.45
2021-07-24,2151.04
2021-07-25,2157.66
2021-07-26,2260.97
2021-07-27,2242.77
2021-07-28,2301.1
2021-07-29,2314.17
2021-07-30,2419.57
2021-07-31,2490.81
2021-08-01,2670.0
2021-08-02,2597.51
2021-08-03,2487.41
2021-08-04,2708.97
2021-08-05,2803.67
2021-08-06,2911.7
2021-08-07,3081.75
2021-08-08,2988.72
2021-08-09,3071.56
2021-08-10,3156.55
2021-08-11,3236.2
2021-08-12,3061.61
2021-08-13,3281.0
2021-08-14,3233.92
2021-08-15,3261.22
2021-08-16,3164.98
2021-08-17,3072.0
2021-08-18,3007.34
2021-08-19,3157.16
2021-08-20,3260.97
2021-08-21,3226.38
2021-08-22,3156.96
2021-08-23,3339.98
2021-08-24,3216.7
2021-08-25,3210.0
2021-08-26,3116.84
2021-08-27,3264.37
2021-08-28,3239.14
2021-08-29,3236.0
2021-08-30,3342.39
2021-08-31,3392.83
2021-09-01,3730.0
2021-09-02,3811.26
2021-09-03,3917.19
2021-09-04,3880.55
2021-09-05,3972.05
2021-09-06,3949.99
2021-09-07,3415.04
2021-09-08,3473.72
2021-09-09,3424.95
2021-09-10,3250.96
2021-09-11,3293.97
2021-09-12,3316.89
2021-09-13,3295.57
2021-09-14,3377.76
2021-09-15,3551.43
2021-09-16,3487.77
2021-09-17,3378.01
2021-09-18,3398.69
2021-09-19,3359.13
2021-09-20,3019.11
2021-09-21,2765.16
2021-09-22,3026.36
2021-09-23,3142.44
2021-09-24,2947.01
2021-09-25,2927.45
2021-09-26,3088.41
2021-09-27,2974.94
2021-09-28,2863.28
2021-09-29,2820.49
2021-09-30,2972.8
2021-10-01,3293.01
2021-10-02,3428.74
2021-10-03,3426.97
2021-10-04,3384.3
2021-10-05,3533.79
2021-10-06,3560.16
2021-10-07,3623.58
2021-10-08,3554.29
2021-10-09,3579.31
2021-10-10,3512.75
2021-10-11,3493.73
2021-10-12,3476.8
2021-10-13,3576.0
2021-10-14,3759.36
2021-10-15,3879.87
2021-10-16,3831.77
2021-10-17,3700.98
2021-10-18,3739.16
2021-10-19,3809.34
2021-10-20,4107.96
2021-10-21,4089.19
2021-10-22,3975.35
2021-10-23,4089.33
2021-10-24,4063.12
2021-10-25,4180.8
2021-10-26,4262.82
2021-10-27,3984.14
2021-10-28,4257.6
2021-10-29,4409.1
2021-10-30,4311.57
2021-10-31,4269.5
2021-11-01,4310.99
2021-11-02,4505.48
2021-11-03,4618.0
2021-11-04,4517.22
2021-11-05,4453.68
2021-11-06,4488.09
2021-11-07,4629.0
2021-11-08,4773.85
2021-11-09,4800.0
2021-11-10,4557.49
2021-11-11,4743.2
2021-11-12,4655.12
2021-11-13,4652.4
2021-11-14,4576.79
2021-11-15,4572.81
2021-11-16,4257.79
2021-11-17,4253.17
2021-11-18,4022.41
2021-11-19,4279.0
2021-11-20,4433.39
2021-11-21,4369.45
2021-11-22,4078.51
2021-11-23,4351.45
2021-11-24,4257.24
2021-11-25,4500.0
2021-11-26,4078.31
2021-11-27,4080.89
2021-11-28,4256.95
2021-11-29,4453.8
2021-11-30,4627.16
2021-12-01,4569.99
2021-12-02,4545.44
2021-12-03,4218.61
2021-12-04,4066.1
2021-12-05,4153.22
2021-12-06,4324.65
2021-12-07,4292.32
2021-12-08,4418.54
2021-12-09,4167.7
2021-12-10,3999.61
2021-12-11,4022.39
2021-12-12,4122.34
2021-12-13,3770.01
2021-12-14,3854.24
2021-12-15,4066.0
2021-12-16,4030.84
2021-12-17,3913.17
2021-12-18,3976.42
2021-12-19,3922.25
2021-12-20,3914.36
2021-12-21,4023.92
2021-12-22,4015.75
2021-12-23,4112.67
2021-12-24,4067.43
2021-12-25,4121.52
2021-12-26,4087.98
2021-12-27,4061.3
2021-12-28,3807.82
2021-12-29,3724.98
2021-12-30,3733.98
2021-12-31,3687.67
2022-01-01,3749.75
2022-01-02,3813.67
2022-01-03,3727.99
2022-01-04,3826.65
2022-01-05,3557.41
2022-01-06,3426.38
2022-01-07,3216.5
2022-01-08,3080.64
2022-01-09,3188.77
2022-01-10,3073.5
2022-01-11,3232.52
2022-01-12,3370.8
2022-01-13,3271.94
2022-01-14,3332.6
2022-01-15,3337.18
2022-01-16,3331.0
2022-01-17,3168.54
2022-01-18,3164.35
2022-01-19,3114.58
2022-01-20,3083.99
2022-01-21,2614.44
2022-01-22,2448.91
2022-01-23,2422.9
2022-01-24,2442.65
2022-01-25,2414.06
2022-01-26,2419.99
2022-01-27,2359.79
2022-01-28,2537.68
2022-01-29,2620.0
2022-01-30,2558.81
2022-01-31,2680.71
2022-02-01,2790.0
2022-02-02,2647.75
2022-02-03,2657.49
2022-02-04,2957.62
2022-02-05,3027.15
2022-02-06,2996.0
2022-02-07,3151.38
2022-02-08,3118.37
2022-02-09,3240.0
2022-02-10,3114.29
2022-02-11,2927.28
2022-02-12,2880.0
2022-02-13,2875.03
2022-02-14,2915.92
2022-02-15,3099.47
2022-02-16,3136.48
2022-02-17,2896.67
2022-02-18,2783.64
2022-02-19,2742.0
2022-02-20,2599.4
2022-02-21,2583.87
2022-02-22,2604.01
2022-02-23,2620.7
2022-02-24,2633.01
2022-02-25,2709.14
2022-02-26,2827.2
2022-02-27,2606.65
2022-02-28,2821.51
2022-03-01,2954.79
2022-03-02,2963.89
2022-03-03,2804.5
